step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,img6334,0.5122592255916949,0.34481113824067133,1.0394148020654044,,Who is getting married?,"Although Guàman Poma writes that this is the marriage of Sayri Tupac and Dona Beatriz in 1558,   in Cuzco Peru. Beatriz not his wife but in fact his daughter, born of his marriage to his sister, Cusi Huacray. Guaman Poma illustrates the Bishop in traditional Catholic garb, while Sayri and Cusi are in traditional Inca costumes.
 Guaman Poma is mixing the marriage of Sayri Tupac and his marriage to Cusi, and the marriage of his daughter Beatriz- He gives the girl in the image a frown,  Beatriz was only about 14 years old at the time, and the marriage is widely understood by historians as a political arrangement after her fiancé had captured her uncle and  had him executed. https://www.academia.edu/21523434/EL_RETRATO_DE_BEATRIZ_CLARA_COYA_Y_LA_INSTAURACIÓN_DE_UN_MODELO_ICONOGRÁFICO_EN_EL_VIRREINATO_DEL_PERÚ_RHIAP_Año1No_1_2014_ALBA_CHOQUE_PORRAS.  https://www.jqjacobs.net/andes/tupac_amaru.html",,Who is Juan Solano?,who-are-these-who-is-officiating.md,Pope Julius III,who-are-these-go-deeper.md,,,
2,img6334,0.36851180079716983,0.47189922480620156,3.375,,Who is Sayri Tupac?,"Sayri Túpac (1534/1535[1] – 1560)[2] was an Inca ruler in Peru. He was a son of siblings Manco Inca Yupanqui and Cura Ocllo.  After the death of his mother in 1539 and of his father in 1544, both at the hands of Spanish conquerors, he became the ruler of the Neo-Inca State in Vilcabamba. He ruled until his death in 1560.  https://en.wikipedia.org/wiki/Sayri_Túpac",,Sayri Tupac and Mendoza,who-are-these-learn-more.md,,,,,
3,cusihuarcay,0.5,0.5,1,,Who is Cusi Huacray,"Cusi Huacray is the sister wife of the Inca King Sayri Tupac after Sayri converted to Christianity and received a special dispensation from the Pope in 1558. She is the mother of Beatriz who marries a Spanish Conquistador. ",,Marriage of Queen Beatriz and Martin Garcia Oñez de Loyola,who-are-these-step3-layer1.md,"Their alliance ",who-are-these-step3-layer2.md,,,
